x, y
-16.03045066991474, 251.24090559242532
-14.216808769792936, 250.41532943175383
-12.14311814859927, 248.45703663902646
-9.892204628501826, 248.75982050797984
-8.109622411693056, 250.60919823993262
-5.9518879415347135, 251.0296103745226
-4.036540803897686, 252.08172986160525
-2.0724725943970768, 254.42776027069024
-0.0779537149817296, 256.7672557761287
2.0596833130328864, 256.8957755478428
3.7649208282582216, 238.41724633682347
5.8690621193666255, 205.27439334311148
8.004263093788063, 168.9490422735656
10.109013398294762, 144.68930163663032
11.841656516443361, 130.066365577032
13.495127892813642, 126.88168919998257
16.02923264311815, 130.2340947706249
17.947015834348356, 137.56407836075573
19.934226552984164, 144.57167337099375
22.080998781973204, 150.1394112777915
24.078562728380025, 155.42179172535978
26.201583434835566, 157.93772962925314
27.90560292326431, 159.22728394882444
29.554202192448233, 157.60880614571383
31.82095006090134, 157.60880614571383
34.01766138855054, 157.60880614571383
35.862362971985384, 155.9358708122159
38.19549330085262, 154.79008437286708
40.20219244823386, 153.64429793351826
42.479293544457974, 151.9517578890809
44.39098660170524, 151.01073176398833
45.78014616321559, 149.53384353988469
47.94518879415347, 148.4294448236302
50.16321559074299, 146.13787194493256
51.666869671132766, 144.56949506977824
54.61023142509135, 141.90543268323145
56.07673568818514, 140.9774763654318
57.91900121802679, 139.1106722237551
60.25334957369062, 137.92131976009642
