x, y
-14.441687344913152, 141.75265739076403
-12.046982071549472, 143.51907329738364
-9.917875864788918, 143.58564676120096
-7.956386702381148, 147.09628741983445
-6.033720605393325, 140.17264718283292
-4.189316878379044, 143.17289128553358
-2.3800387819828117, 143.87413177107604
-0.04449246544952601, 142.8355857355258
1.9373325883686903, 161.95104631293964
4.116970404088541, 134.49171160375474
6.033474109739863, 104.40938242016732
7.883423988956995, 78.53005791891351
9.758023433520123, 67.10605152786098
11.595032290930604, 64.37210128042962
13.606436823164017, 64.16350442713534
15.748484051731221, 66.61784612653396
17.959550063267216, 71.5265295253312
20.017788769658026, 75.35228457936665
21.93675743184395, 79.56416572354259
23.90749018125647, 83.77160863679737
25.620634972803316, 84.12666711048975
28.150912855569977, 82.2359807380778
29.86159269058222, 82.78632137230099
31.51557852529867, 81.75665179859307
33.75375905871527, 78.71202538668086
35.508191872216656, 78.48123737878082
37.73035018815835, 73.82997137341056
39.62466928499828, 72.79142533786032
41.595402034410796, 71.75287930231009
43.61420143624801, 70.72764795952332
45.54241368543868, 72.13012893060825
47.4650797824265, 69.01449082395756
49.7550244030697, 68.00701240485542
51.81326310946051, 70.46135410425404
53.438901944029055, 69.26303175554223
55.540893628909004, 67.92268601735348
57.59913233529983, 67.58094223642456
