x, y
-13.721920036810017, 295.11128864034794
-11.943453897096282, 294.7784213212613
-9.817428886003977, 298.2846237489736
-7.83005767998291, 297.9739475844928
-5.791538625868897, 297.9828240463351
-3.8688725288810737, 299.38530501742
-1.7601022135309687, 297.3259658700042
0.016515208781818558, 297.6987772673812
1.9391813057696403, 322.5351175021636
4.073833664733044, 315.8067594256929
6.092633066570258, 312.3493775381133
8.293839251967857, 311.49723720125155
9.78390547713342, 308.72778110645095
11.75463822654594, 303.88123294054986
13.937357237934037, 299.38086678649887
16.227301858577228, 294.21476599427467
18.374895239347282, 290.26474047444685
20.105294726636323, 291.3166012027606
22.078492432583438, 288.73355080664845
23.982055116428114, 284.65481659010715
26.527122738402376, 279.5109069524887
28.383235008956007, 276.36420122938995
29.921367886546264, 276.3775159221534
31.978374114669776, 274.8552027161973
34.063111103807536, 273.1642367352373
36.0923865709168, 270.0485986285866
38.13090562503081, 269.0100525930364
40.24830328825202, 270.76315380689255
41.97007542766996, 269.22308767725184
44.073299590817214, 267.50993054168606
46.09209899265443, 265.7834587133568
48.113363351026244, 263.8927723409449
50.1783806878872, 264.2522690455584
52.02155193663418, 263.7729401060737
53.83329498956502, 261.3585424849655
55.755961086552844, 260.31999644941527
57.69834683581746, 261.3762954086501
